judge_version,dataset,approach,wer,mar,n,file
v1_judge,commonvoice,?,0.26390884126379155,0.6882352941176471,680,results/combinations/naive/naive_commonvoice_llamasel_p3_qwenjud.json
v1_judge,commonvoice,?,0.32214371573485007,0.7617647058823529,680,results/combinations/naive/naive_commonvoice_qwen14bsel_p1_qwenjud.json
v1_judge,commonvoice,?,0.9394197034995652,0.11764705882352941,680,results/combinations/naive/naive_commonvoice_qwensel_p2_qwenjud.json
v1_judge,commonvoice,?,0.6538743440147762,0.8955882352941177,680,results/combinations/naive/naive_commonvoice_mistralsel_p1_qwenjud.json
v1_judge,commonvoice,?,0.1825617872115864,0.7088235294117647,680,results/combinations/naive/naive_commonvoice_gemma2sel_p3_qwenjud.json
v1_judge,commonvoice,?,0.1986865636635492,0.7191176470588235,680,results/combinations/naive/naive_commonvoice_qwensel_p3_qwenjud.json
v1_judge,commonvoice,?,0.37305891895589627,0.5117647058823529,680,results/combinations/naive/naive_commonvoice_mistralsel_p3_qwenjud.json
v1_judge,commonvoice,?,0.19150370869858396,0.7647058823529411,680,results/combinations/naive/naive_commonvoice_qwen14bsel_p2_qwenjud.json
v1_judge,commonvoice,?,0.2167072229225913,0.7426470588235294,680,results/combinations/naive/naive_commonvoice_gemma2sel_p1_qwenjud.json
v1_judge,commonvoice,?,0.22797502125538713,0.7323529411764705,680,results/combinations/naive/naive_commonvoice_qwensel_p1_qwenjud.json
v1_judge,commonvoice,?,0.1852394773617911,0.7,680,results/combinations/naive/naive_commonvoice_qwen14bsel_p3_qwenjud.json
v1_judge,commonvoice,?,0.6217127444369521,0.15294117647058825,680,results/combinations/naive/naive_commonvoice_mistralsel_p2_qwenjud.json
v1_judge,commonvoice,?,0.3173062827992612,0.7705882352941177,680,results/combinations/naive/naive_commonvoice_llamasel_p1_qwenjud.json
v1_judge,commonvoice,context_aware,0.18971532440118444,0.5720588235294117,680,results/combinations/context/context_commonvoice_qwen.json
v1_judge,commonvoice,context_aware,0.18591378619523685,0.5705882352941176,680,results/combinations/context/context_commonvoice_gemma2.json
v1_judge,commonvoice,context_aware,0.20263469074633284,0.6102941176470589,680,results/combinations/context/context_commonvoice_mistral.json
v1_judge,commonvoice,context_aware_v1_confidence,0.1835496301545821,0.5333333333333333,150,results/combinations/context_v1_confidence/context_v1conf_commonvoice_qwen_t050_sub150.json
v1_judge,commonvoice,context_aware_v1_confidence,0.1849227089515879,0.5933333333333334,150,results/combinations/context_v1_confidence/context_v1conf_commonvoice_qwen_t080_sub150.json
v1_judge,commonvoice,context_aware_v1_confidence,0.18403685166319705,0.5733333333333334,150,results/combinations/context_v1_confidence/context_v1conf_commonvoice_qwen_sub150.json
v1_judge,commonvoice,context_aware_v2,0.1812464012047659,0.6933333333333334,150,results/combinations/context_v2/context_v2_commonvoice_gemma2_sub150.json
v1_judge,commonvoice,context_aware_v2,0.18208796562873722,0.68,150,results/combinations/context_v2/context_v2_commonvoice_qwen_sub150.json
v1_judge,commonvoice,context_aware_v2_confidence,0.18394826593435798,0.58,150,results/combinations/context_v2_confidence/context_v2conf_commonvoice_qwen_t050_sub150.json
